title,director,cast,country,release_year,rating,duration,genre,type,imdb_score
Bandie,Alo Sarkar,"Uttam Kumar, Sulakshana Pandit, Utpal Dutt, Bindu, Amjad Khan, Helen, Indrani Mukherjee, Padma Khanna, Iftekhar",India,1978,TV-14,141 min,"Action & Adventure, Dramas, International Movies",Movie,4.4
Getaway Plan,Iñaki Dorronsoro,"Alain Hernández, Javier Gutiérrez, Alba Galocha, Itziar Atienza, Luis Tosar, Florin Opritescu, Jaroslaw Bielski, Peter Nikolas",Spain,2016,TV-MA,104 min,"International Movies, Thrillers",Movie,5.6
Hajwala: The Missing Engine,"Ali Bin Matar, Ibrahim Bin Mohamed","Yasser Al Jarraf, Haleem Aljabri, Anwar Aljabri, Omar Aljabri, Ali Almarzouqi, Majed Aldheeb, Yousef Almahmodi, Reem Ali",United Arab Emirates,2016,TV-PG,97 min,"Action & Adventure, Dramas, International Movies",Movie,2.0
Judah Friedlander: America Is the Greatest Country in the United States,Judah Friedlander,Judah Friedlander,United States,2017,TV-MA,84 min,Stand-Up Comedy,Movie,7.8
The B-Side: Elsa Dorfman's Portrait Photography,Errol Morris,Elsa Dorfman,United States,2016,TV-MA,76 min,Documentaries,Movie,6.7
SPF-18,Alex Israel,"Carson Meyer, Noah Centineo, Bianca Santos, Jackson White, Sean Russel Herman, Rosanna Arquette, Molly Ringwald, Pamela Anderson, Keanu Reeves, Goldie Hawn",United States,2017,PG-13,75 min,"Dramas, Romantic Movies, Sports Movies",Movie,3.2
Pup Star: Better 2Gether,Robert Vince,"Kaitlyn Maher, Obba Babatundé, Lombardo Boyar, Molly Burnett, Chris Coppola, Reggie De Leon, David DeLuise, Matty Finochio, Josh Flitter, Benjamin Flores Jr.",Canada,2017,PG,93 min,"Children & Family Movies, Comedies",Movie,4.3
Joan Didion: The Center Will Not Hold,Griffin Dunne,Joan Didion,United States,2017,TV-14,98 min,Documentaries,Movie,7.4
Strange Weather,Katherine Dieckmann,"Holly Hunter, Carrie Coon, Kim Coates, Shane Jacobsen, Andrene Ward-Hammond, Allene Quincy, Glenne Headly",United States,2016,R,91 min,"Dramas, Independent Movies",Movie,6.0
The Hateful Eight,Quentin Tarantino,"Samuel L. Jackson, Kurt Russell, Jennifer Jason Leigh, Walton Goggins, Demián Bichir, Tim Roth, Michael Madsen, Bruce Dern, James Parks, Dana Gourrier, Channing Tatum, Zoë Bell",United States,2015,R,168 min,"Action & Adventure, Thrillers",Movie,7.8
Jack Whitehall: At Large,Brian Klein,Jack Whitehall,United Kingdom,2017,TV-MA,68 min,Stand-Up Comedy,Movie,6.8
1922,Zak Hilditch,"Thomas Jane, Molly Parker, Dylan Schmid, Kaitlyn Bernard, Bob Frazer, Brian d'Arcy James, Neal McDonough",United States,2017,TV-MA,103 min,"Dramas, Thrillers",Movie,6.2
Wheelman,Jeremy Rush,"Frank Grillo, Caitlin Carmichael, Garret Dillahunt, Shea Whigham, Wendy Moniz, John Cenatiempo, Slaine",United States,2017,TV-MA,82 min,Action & Adventure,Movie,6.4
Wedding Unplanned,Reem Kherici,"Reem Kherici, Nicolas Duvauchelle, Julia Piaton, Sylvie Testud, François-Xavier Demaison, Chantal Lauby, Lionnel Astier, Ève Saint-Louis, Victoria Monfort, Amelie Fonlupt",France,2017,TV-MA,94 min,"Comedies, International Movies, Romantic Movies",Movie,5.7
Patton Oswalt: Annihilation,Bobcat Goldthwait,Patton Oswalt,United States,2017,TV-MA,66 min,Stand-Up Comedy,Movie,7.2
Baadshaho,Milan Luthria,"Ajay Devgn, Emraan Hashmi, Vidyut Jamwal, Ileana D'Cruz, Esha Gupta, Sanjay Mishra, Sunny Leone, Sharad Kelkar, Priyanshu Chatterjee, Denzil Smith",India,2017,TV-14,135 min,"Action & Adventure, International Movies",Movie,4.9
Singapore,Shakti Samanta,"Shammi Kapoor, Padmini, Maria Menado, Shashikala, Agha, K.N. Singh, Madan Puri, Helen","India, Malaysia",1960,TV-PG,158 min,"Comedies, Dramas, International Movies",Movie,6.4
Ujala,Naresh Saigal,"Mala Sinha, Shammi Kapoor, Raaj Kumar, Leela Chitnis, Dhumal, Kumkum",India,1959,TV-PG,143 min,"Dramas, International Movies",Movie,6.6
Blessed Benefit,Mahmoud al Massad,"Ahmad Thaher, Maher Khammash, Odai Hijazi, Nadeem Rimawi, Mahmoud al Massad, Nadim Mushahwar","Germany, Jordan, Netherlands",2016,TV-14,83 min,"Comedies, Dramas, International Movies",Movie,6.6
Clair Obscur,Yesim Ustaoglu,"Funda Eryiğit, Ecem Uzun, Mehmet Kurtulus, Okan Yalabik, Serkan Keskin, Sema Poyraz","Turkey, France, Germany, Poland",2016,TV-MA,102 min,"Dramas, International Movies",Movie,6.5
"El Especial de Alex Fernández, el Especial",Jan Suter,Alex Fernández,Mexico,2017,TV-MA,52 min,Stand-Up Comedy,Movie,6.7
The Babysitter,McG,"Samara Weaving, Hana Mae Lee, Judah Lewis, Robbie Amell, Bella Thorne, Andrew Bachelor, Emily Alyn Lind, Leslie Bibb, Ken Marino",United States,2017,TV-MA,85 min,"Comedies, Horror Movies",Movie,6.4
The Meyerowitz Stories (New and Selected),Noah Baumbach,"Adam Sandler, Ben Stiller, Dustin Hoffman, Elizabeth Marvel, Grace Van Patten, Emma Thompson, Candice Bergen, Rebecca Miller, Danny Flaherty, Sakina Jaffrey, Adam David Thompson",United States,2017,TV-MA,113 min,"Comedies, Dramas, Independent Movies",Movie,6.9
Barakah Meets Barakah,Mahmoud Sabbagh,"Hisham Fageeh, Fatima Al-Banawi, Sami Hifny, Khairia Nazmi, Abdulmajeed Al-Ruhaidi",Saudi Arabia,2016,TV-14,88 min,"Comedies, International Movies, Romantic Movies",Movie,6.3
Bomb Scared,Borja Cobeaga,"Javier Cámara, Julián López, Miren Ibarguren, Gorka Otxoa, Tina Sáinz, Ramón Barea",Spain,2017,TV-MA,89 min,"Comedies, Independent Movies, International Movies",Movie,5.6
Christina P: Mother Inferior,Jay Karas,Christina Pazsitzky,United States,2017,TV-MA,59 min,Stand-Up Comedy,Movie,6.4
Rodney Carrington: Here Comes the Truth,Brandon Jones,Rodney Carrington,United States,2017,TV-MA,66 min,Stand-Up Comedy,Movie,4.5
Security,Alain Desrochers,"Antonio Banderas, Ben Kingsley, Liam McIntyre, Cung Le, Katherine de la Rocha, Chad Lindberg, Jiro Wang, Gabriella Wright, Shari Watson, John Strong",United States,2017,R,92 min,Action & Adventure,Movie,5.7
Security,Alain Desrochers,"Antonio Banderas, Ben Kingsley, Liam McIntyre, Cung Le, Katherine de la Rocha, Chad Lindberg, Jiro Wang, Gabriella Wright, Shari Watson, John Strong",United States,2017,R,92 min,Action & Adventure,Movie,4.9
26 Years,Geun-hyun Cho,"Goo Jin, Hye-jin Han, Soo-bin Bae, Seul-ong Im, Kyeong-yeong Lee, Gwang Jang, Deok-jae Jo, Eui-sung Kim, Seok-Hwan An, Bok-gi Min",South Korea,2012,TV-MA,135 min,"Dramas, International Movies, Thrillers",Movie,6.3
Ghost Patrol,Karen J. Lloyd,"Scott McNeil, Vincent Tong, Travis Turner, Shannon Chan-Kent, Lili Beaudoin",Canada,2016,TV-Y7-FV,47 min,"Children & Family Movies, Comedies",Movie,5.1
The Lion Woman,Vibeke Idsøe,"Rolf Lassgård, Kjersti Tveterås, Rolf Kristian Larsen, Ole Johan Skjelbred-Knutsen, Karen-Lise Mynster, Ida Ursin-Holm, Lisa Loven Kongsli, Connie Nielsen, Henrik Mestad, Kåre Conradi, Mathilde Thomine Storm","Norway, Germany",2016,TV-PG,118 min,"Dramas, International Movies",Movie,6.6
Gerald's Game,Mike Flanagan,"Carla Gugino, Bruce Greenwood, Henry Thomas, Carel Struycken, Chiara Aurelia",United States,2017,TV-MA,103 min,"Horror Movies, Thrillers",Movie,6.5
Our Souls at Night,Ritesh Batra,"Robert Redford, Jane Fonda, Bruce Dern, Matthias Schoenaerts, Iain Armitage, Judy Greer, Phyllis Somerville",United States,2017,TV-14,103 min,"Dramas, Romantic Movies",Movie,6.9
Much Loved,Nabil Ayouch,"Loubna Abidar, Asmaa Lazrak, Halima Karaouane, Sara El Mhamdi Elaaloui, Abdellah Didane, Danny Boushebel, Carlo Brandt, Camélia Montassere","France, Morocco",2015,TV-MA,104 min,"Dramas, Independent Movies, International Movies",Movie,6.2
Def Comedy Jam 25,Louis J. Horvitz,"Dave Chappelle, Steve Harvey, Cedric the Entertainer, Martin Lawrence, Tiffany Haddish, Katt Williams, Craig Robinson, D.L. Hughley, Eddie Griffin, J.B. Smoove, Joe Torry, Kid Capri, Mike Epps, Sheryl Underwood, Tracy Morgan, Deon Cole",United States,2017,TV-MA,82 min,Stand-Up Comedy,Movie,6.6
Swearnet: The Movie,Warren P. Sonoda,"Mike Smith, John Paul Tremblay, Robb Wells, Patrick Roach, Mishael Morgan, Sarah Jurgens, Shannon Leroux, Dana Woods, Howard Jerome, Tom Green",Canada,2014,NR,112 min,"Comedies, International Movies",Movie,6.0
The Bar,Álex de la Iglesia,"Blanca Suárez, Mario Casas, Carmen Machi, Secun de la Rosa, Jaime Ordoñez, Terele Pávez, Joaquín Climent, Alejandro Awada","Spain, Argentina",2017,TV-MA,102 min,"Comedies, Horror Movies, International Movies",Movie,6.3
Gaga: Five Foot Two,Chris Moukarbel,Lady Gaga,United States,2017,TV-MA,101 min,"Documentaries, Music & Musicals",Movie,7.0
The Bad Batch,Ana Lily Amirpour,"Suki Waterhouse, Jason Momoa, Keanu Reeves, Jim Carrey, Giovanni Ribisi, Yolonda Ross",United States,2016,R,119 min,"Dramas, Independent Movies, Thrillers",Movie,5.2
Jerry Before Seinfeld,Michael Bonfiglio,Jerry Seinfeld,United States,2017,TV-14,62 min,Stand-Up Comedy,Movie,7.0
First They Killed My Father,Angelina Jolie,"Sreymoch Sareum, Kompheak Phoeung, Socheata Sveng, Dara Heng, Sothea Khoun, Sreyneang Oun, Kimhak Mun, Chenda Run, Nika Sarun, Nita Sarun","Cambodia, United States",2017,TV-MA,137 min,Dramas,Movie,7.2
Jeff Dunham: Relative Disaster,Michael Simon,Jeff Dunham,United States,2017,TV-MA,71 min,Stand-Up Comedy,Movie,6.4
#realityhigh,Fernando Lebrija,"Nesta Cooper, Kate Walsh, John Michael Higgins, Keith Powers, Alicia Sanz, Jake Borelli, Kid Ink, Yousef Erakat, Rebekah Graf, Anne Winters, Peter Gilroy, Patrick Davis",United States,2017,TV-14,99 min,Comedies,Movie,5.1
Carrie Pilby,Susan Johnson,"Bel Powley, Nathan Lane, Vanessa Bayer, Gabriel Byrne, Jason Ritter, Colin O'Donoghue, William Moseley, Desmin Borges",United States,2016,TV-14,98 min,"Comedies, Dramas",Movie,6.6
Marc Maron: Too Real,Lynn Shelton,Marc Maron,United States,2017,TV-MA,70 min,Stand-Up Comedy,Movie,7.2
Aakhri Adaalat,Rajiv Mehra,"Vinod Khanna, Dimple Kapadia, Jackie Shroff, Sonam, Vinod Mehra, Shafi Inamdar, Gulshan Grover, Roopesh Kumar",India,1988,TV-14,148 min,"Action & Adventure, International Movies",Movie,5.1
Berserk: The Golden Age Arc II - The Battle for Doldrey,Toshiyuki Kubooka,"Hiroaki Iwanaga, Takahiro Sakurai, Toa Yukinari, Yuki Kaji, Minako Kotobuki, Takahiro Fujiwara, Yoshiro Matsumoto, Kazuki Yao, Aki Toyosaki, Rikiya Koyama, Kenta Miyake, Nobuyuki Katsube, Houchu Ohtsuka, Takayuki Sugo",Japan,2012,TV-MA,92 min,"Action & Adventure, Anime Features, International Movies",Movie,7.7
Berserk: The Golden Age Arc III - The Advent,Toshiyuki Kubooka,"Hiroaki Iwanaga, Takahiro Sakurai, Toa Yukinari, Yuki Kaji, Yoshiro Matsumoto, Minako Kotobuki, Takahiro Fujiwara, Kazuki Yao, Yuichi Nakamura, Aki Toyosaki, Akio Otsuka",Japan,2013,TV-MA,107 min,"Action & Adventure, Anime Features, International Movies",Movie,7.8
Brother's Shadow,Todd S. Yellin,"Scott Cohen, Judd Hirsch, Susan Floyd, Elliot Korte, Ruben Santiago-Hudson, James Murtaugh, Ato Essandoh, Toby Poser, Diane Kagan, John Di Benedetto, Jerry Matz, Lisa Emery",United States,2006,TV-14,90 min,"Dramas, Independent Movies",Movie,6.1
Ek Jaan Hain Hum,Rajiv Mehra,"Rajiv Kapoor, Divya Rana, Shammi Kapoor, Tanuja, Kiran Vairale, Rakesh Bedi, Gulshan Grover, Monty Sharma",India,1983,TV-14,151 min,"Dramas, International Movies, Music & Musicals",Movie,6.3
Khoon Khoon,Mohammed Hussain,"Danny Denzongpa, Mahendra Sandhu, Rekha, Faryal, Helen, Jagdeep",India,1973,TV-14,132 min,"Action & Adventure, International Movies",Movie,5.1
Little Evil,Eli Craig,"Adam Scott, Evangeline Lilly, Bridget Everett, Owen Atlas, Chris D'Elia, Donald Faison, Clancy Brown, Tyler Labine, Kyle Bornheimer, Carla Gallo, Brad Williams, Sally Field",United States,2017,TV-MA,95 min,"Comedies, Horror Movies",Movie,5.6
Manoranjan,Shammi Kapoor,"Sanjeev Kumar, Zeenat Aman, Shammi Kapoor, Dev Kumar, Madan Puri, Paintal, Asit Kumar Sen, Agha, Murad, Shefali",India,1974,TV-14,162 min,"Comedies, International Movies, Music & Musicals",Movie,6.5
Mujrim,Umesh Mehra,"Mithun Chakraborty, Madhuri Dixit, Suresh Oberoi, Shakti Kapoor, Pallavi Joshi, Gulshan Grover, Amrish Puri, Nutan, Jagdeep, Sharat Saxena",India,1989,TV-14,163 min,"Action & Adventure, Dramas, International Movies",Movie,5.4
Rocco,"Thierry Demaizière, Alban Teurlai",Rocco Siffredi,France,2016,TV-MA,103 min,"Documentaries, International Movies",Movie,5.7
She's Gotta Have It,Spike Lee,"Tracy Camilla Johns, Tommy Redmond Hicks, John Canada Terrell, Spike Lee, Raye Dowell, Joie Lee, S. Epatha Merkerson, Bill Lee, Cheryl Burr, Aaron Dugger",United States,1986,R,84 min,"Classic Movies, Comedies, Independent Movies",Movie,6.7
She's Gotta Have It,Spike Lee,"Tracy Camilla Johns, Tommy Redmond Hicks, John Canada Terrell, Spike Lee, Raye Dowell, Joie Lee, S. Epatha Merkerson, Bill Lee, Cheryl Burr, Aaron Dugger",United States,1986,R,84 min,"Classic Movies, Comedies, Independent Movies",Movie,6.7
Sohni Mahiwal,"Latif Faiziyev, Umesh Mehra","Zeenat Aman, Pran, Tanuja, Poonam Dhillon","India, Soviet Union",1984,TV-PG,160 min,"Dramas, International Movies, Romantic Movies",Movie,6.1
The Distinguished Citizen,"Gastón Duprat, Mariano Cohn","Oscar Martínez, Dady Brieva, Andrea Frigerio, Nora Navas, Manuel Vicente, Belén Chavanne, Marcelo D'Andrea, Gustavo Garzón","Argentina, Spain",2016,TV-MA,113 min,"Comedies, Dramas, International Movies",Movie,7.5
The Guardian Brothers,Gary Wang,"Edward Norton, Dan Fogler, Mike Birbiglia, Bella Thorne, Randall Park, Mel Brooks, Nicole Kidman, Meryl Streep",China,2016,TV-Y7-FV,86 min,"Children & Family Movies, Comedies",Movie,5.4
The Last Shaman,Raz Degan,James Freeman,"United Kingdom, Italy, Israel, Peru, United States",2016,TV-MA,83 min,"Documentaries, International Movies",Movie,6.6
The Lost Brother,Israel Adrián Caetano,"Leonardo Sbaraglia, Daniel Hendler, Ángela Molina, Alián Devetac, Pablo Cedrón, Alejandra Flechner","Argentina, Uruguay, Spain, France",2017,TV-MA,113 min,"Dramas, International Movies",Movie,6.5
Ryan Hamilton: Happy Face,Marcus Raboy,Ryan Hamilton,United States,2017,TV-14,57 min,Stand-Up Comedy,Movie,7.3
Buster's Mal Heart,Sarah Adina Smith,"Rami Malek, DJ Qualls, Kate Lyn Sheil, Sukha Belle Potter, Toby Huss, Lin Shaye, Mark Kelly, Bruce Bundy, Teresa Yenque, Sandra Ellis Lafferty, Nicholas Pryor",United States,2016,TV-MA,98 min,"Independent Movies, Thrillers",Movie,6.2
Berlin Syndrome,Cate Shortland,"Matthias Habich, Max Riemelt, Teresa Palmer, Lucie Aron, Emma Bading",Australia,2017,R,116 min,"International Movies, Thrillers",Movie,6.2
Death Note,Adam Wingard,"Willem Dafoe, Nat Wolff, Lakeith Stanfield, Margaret Qualley, Shea Whigham, Paul Nakauchi, Jason Liles",United States,2017,TV-MA,100 min,"Horror Movies, Thrillers",Movie,4.5
Lynne Koplitz: Hormonal Beast,Marcus Raboy,Lynne Koplitz,United States,2017,TV-MA,51 min,Stand-Up Comedy,Movie,6.3
Undefeated,"Daniel Lindsay, T.J. Martin","Montrail 'Money' Brown, O.C. Brown, Bill Courtney, Chavis Daniels",United States,2011,PG-13,113 min,"Documentaries, Sports Movies",Movie,7.7
What Happened to Monday,Tommy Wirkola,"Noomi Rapace, Willem Dafoe, Glenn Close, Marwan Kenzari, Christian Rubeck, Pål Sverre Hagen, Tomiwa Edun, Cassie Clare, Cameron Jack, Clara Read, Robert Wagner","United Kingdom, France, Belgium",2017,TV-MA,124 min,"Action & Adventure, Sci-Fi & Fantasy",Movie,6.8
Brad Paisley's Comedy Rodeo,Jay Chapman,"Brad Paisley, Nate Bargatze, John Heffron, Jon Reep, Sarah Tiana, Mike E. Winfield",United States,2017,TV-MA,63 min,Stand-Up Comedy,Movie,5.7
Colin Quinn: Unconstitutional,Jay Chapman,Colin Quinn,United States,2015,TV-MA,56 min,Stand-Up Comedy,Movie,7.1
The Outcasts,Peter Hutchings,"Victoria Justice, Eden Sher, Ashley Rickards, Claudia Lee, Katie Chang, Peyton List, Jazmyn Richardson, Avan Jogia, Will Peltz",United States,2017,PG-13,94 min,Comedies,Movie,5.4
Chocolate City: Vegas Strip,Jean-Claude La Marre,"Robert Ri'chard, Darrin Dewitt Henson, Ginuwine, Gilbert Saldivar, Keith Carlos, Michael Bolwaire, Willie Taylor, Michael Jai White, Vivica A. Fox, Mekhi Phifer",United States,2017,TV-MA,90 min,Dramas,Movie,3.7
Naked,Michael Tiddes,"Marlon Wayans, Regina Hall, Dennis Haysbert, Loretta Devine, Eliza Coupe, Scott Foley, J.T. Jackson, Brian McKnight, Cory Hardrict, Neil Brown Jr., David Sheridan, Minka Kelly",United States,2017,TV-14,97 min,"Comedies, Romantic Movies",Movie,5.4
Demonic,Will Canon,"Maria Bello, Frank Grillo, Cody Horn, Dustin Milligan, Megan Park, Scott Mechlowicz, Aaron Yoo, Alex Goode, Terence Rosemore, Jesse Steccato",United States,2015,R,83 min,"Horror Movies, Independent Movies",Movie,5.3
LEGO Marvel Super Heroes: Avengers Reassembled!,Rob Silvestri,"Laura Bailey, Troy Baker, Eric Bauza, Ben Diskin, Grant George, JP Karliak, Jim Meskimen, Bumper Robinson, Roger Craig Smith, Fred Tatasciore, Travis Willingham, Mick Wingert",United States,2015,TV-Y7,22 min,Children & Family Movies,Movie,6.1
Icarus,Bryan Fogel,"Bryan Fogel, Grigory Rodchenkov",United States,2017,TV-MA,121 min,"Documentaries, Sports Movies",Movie,7.9
Message from the King,Fabrice Du Welz,"Chadwick Boseman, Luke Evans, Teresa Palmer, Alfred Molina, Natalie Martinez, Tom Felton, Dale Dickey, Sibongile Mlambo","United Kingdom, France, Belgium, United States",2017,TV-MA,103 min,"Independent Movies, Thrillers",Movie,6.4
The Invisible Guardian,Fernando González Molina,"Marta Etura, Elvira Mínguez, Francesc Orella, Itziar Aizpuru, Nene, Miquel Fernández, Pedro Casablanc, Colin McFarlane, Benn Northover","Spain, Germany",2017,TV-MA,129 min,"International Movies, Thrillers",Movie,6.4
Handsome Devil,John Butler,"Fionn O'Shea, Nicholas Galitzine, Andrew Scott, Michael McElhatton, Moe Dunford, Ruairí O'Connor, Jay Duffy, Mark Lavery, Jamie Hallahan, Ardal O'Hanlon, Amy Huberman",Ireland,2016,TV-MA,95 min,"Comedies, Dramas, International Movies",Movie,7.0
Jessica Darling's It List,Ali Scher,"Chloe East, Emma Rayne Lyle, Jane Widdop, Jane Sibbett, Eric Lutes, Blair Fowler, Ashley Liao, Eva Bella, Kimrie Lewis-Davis, Abraham Benrubi",United States,2016,TV-G,80 min,"Children & Family Movies, Comedies",Movie,5.4
Opening Night,Isaac Rentz,"Topher Grace, Alona Tal, Anne Heche, Taye Diggs, Rob Riggle, Paul Scheer, J.C. Chasez, Lauren Lapkus, Lesli Margherita, Brian Huskey",United States,2016,TV-MA,84 min,"Comedies, Independent Movies, Music & Musicals",Movie,6.0
Raising the Bar,Clay Glen,"Kelli Berglund, Lili Karamalikis, Tess Fowler, Emily Morris, Peta Shannon, Adam Tuominen, Caetlyn Collins, Jack Tomich, Isabelle Andary-Geslin, Rachel D'Sena",Australia,2016,TV-G,97 min,"Children & Family Movies, Dramas, Sports Movies",Movie,5.5
The Blind Christ,Christopher Murray,"Michael Silva, Bastián Inostroza, Ana María Henríquez, Mauricio Pinto, Pedro Godoy, Hermelinda Cayo, Héctor Mella, Gonzalo Villalobos, Noelia Rubio","Chile, France",2016,TV-MA,86 min,"Dramas, Independent Movies, International Movies",Movie,5.8
The Incredible Jessica James,Jim Strouse,"Jessica Williams, Chris O'Dowd, Lakeith Stanfield, Noël Wells, Taliyah Whitaker, Zabryna Guevara, Sarah Jones, Will Stephen, Susan Heyward, Megan Ketch",United States,2017,TV-MA,84 min,"Comedies, Independent Movies, Romantic Movies",Movie,6.5
Aditi Mittal: Things They Wouldn't Let Me Say,Fazila Allana,Aditi Mittal,India,2017,TV-MA,63 min,Stand-Up Comedy,Movie,4.3
Amar,Esteban Crespo,"María Pedraza, Pol Monen, Natalia Tena, Nacho Fresneda, Greta Fernández, Gustavo Salmerón, Celso Bugallo, Sonia Almarcha, Marta Belenguer",Spain,2017,TV-MA,104 min,"Dramas, International Movies, Romantic Movies",Movie,5.1
To the Bone,Marti Noxon,"Lily Collins, Keanu Reeves, Carrie Preston, Lili Taylor, Alex Sharp, Liana Liberato, Brooke Smith, Leslie Bibb, Kathryn Prescott",United States,2017,TV-MA,108 min,"Dramas, Independent Movies",Movie,6.8
D.L. Hughley: Clear,Jay Chapman,D.L. Hughley,United States,2014,TV-MA,59 min,Stand-Up Comedy,Movie,6.8
Tom Segura: Completely Normal,Jay Chapman,Tom Segura,United States,2014,TV-MA,74 min,Stand-Up Comedy,Movie,7.7
Take Me,Pat Healy,"Taylor Schilling, Pat Healy, Alycia Delmore, Jim O'Heir, Brooke Dillman, Mark Kelly, Toby Huss, Alejandro Patiño",United States,2017,TV-MA,84 min,"Comedies, Independent Movies",Movie,6.1
Players,"Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla","Vinod Khanna, Abhishek Bachchan, Bobby Deol, Sonam Kapoor, Bipasha Basu, Neil Nitin Mukesh, Sikander Kher, Omi Vaidya, Johnny Lever, Shweta Bhardwaj",India,2012,TV-14,162 min,"Action & Adventure, International Movies",Movie,4.2
Okja,Bong Joon Ho,"Tilda Swinton, Jake Gyllenhaal, An Seo Hyun, Paul Dano, Steven Yeun, Byun Heebong, Lily Collins, Yoon Je Moon, Shirley Henderson, Daniel Henshall, Devon Bostick, Woo Shik Choi, Giancarlo Esposito","South Korea, United States",2017,TV-MA,121 min,"Action & Adventure, Comedies, Dramas",Movie,7.3
Chris D'Elia: Man on Fire,Bill D'Elia,Chris D'Elia,United States,2017,TV-MA,66 min,Stand-Up Comedy,Movie,6.5
You Get Me,Brent Bonacorso,"Bella Thorne, Halston Sage, Taylor John Smith, Nash Grier, Anna Akana, Kathryn Morris, Brigid Brannagh, Kimberly Williams-Paisley, Tyler Hanson",United States,2017,TV-MA,89 min,"Dramas, Thrillers",Movie,4.7
Rory Scovel Tries Stand-Up for the First Time,Scott Moran,Rory Scovel,United States,2017,TV-MA,66 min,Stand-Up Comedy,Movie,6.7
Shimmer Lake,Oren Uziel,"Benjamin Walker, Rainn Wilson, Rob Corddry, Adam Pally, Ron Livingston, John Michael Higgins, Wyatt Russell, Stephanie Sigman, Mark Rendall, Isabel Dove, Angela Vint","Canada, United States",2017,TV-MA,87 min,"Dramas, Independent Movies, Thrillers",Movie,6.3
Headshot,"Timo Tjahjanto, Kimo Stamboel","Iko Uwais, Chelsea Islan, Julie Estelle, Sunny Pang, Very Tri Yulisman, David Hendrawan, Zack Lee, Yayu Unru, Ganindra Bimo",Indonesia,2016,TV-MA,119 min,"Action & Adventure, International Movies",Movie,6.3
Lucid Dream,Jun-seong Kim,"Ko Soo, Kyung-gu Seol, Yu-chun Park, Hye-jung Kang, In-hwan Park, Ho-jin Chun",South Korea,2017,TV-MA,102 min,"International Movies, Sci-Fi & Fantasy, Thrillers",Movie,6.1
Catfight,Onur Tukel,"Sandra Oh, Anne Heche, Alicia Silverstone, Amy Hill, Myra Lucretia Taylor, Ariel Kavoussi, Damian Young, Stephen Gevedon, Giullian Yao Gioiello, Tituss Burgess",United States,2016,TV-MA,96 min,"Comedies, Independent Movies",Movie,5.9
Little Boxes,Rob Meyer,"Melanie Lynskey, Nelsan Ellis, Armani Jackson, Oona Laurence, Janeane Garofalo, Christine Taylor, Nadia Dajani, Veanne Cox, Will Janowitz, Julie Hays",United States,2016,TV-14,89 min,"Comedies, Dramas, Independent Movies",Movie,5.9
Love.com,Anita Barbosa,"Isis Valverde, Gil Coelho, Joaquim Lopes, Carol Portes, Alexandra Richter, Marcos Mion, João Côrtes, César Cardadeiro",Brazil,2017,TV-MA,92 min,"Comedies, International Movies, Romantic Movies",Movie,5.8
War Machine,David Michôd,"Brad Pitt, Topher Grace, Emory Cohen, John Magaro, Scoot McNairy, Anthony Michael Hall, Will Poulter",United States,2017,TV-MA,123 min,"Comedies, Dramas",Movie,6.0
Laerte-se,"Lygia Barbosa da Silva, Eliane Brum",Laerte Coutinho,Brazil,2017,TV-MA,101 min,"Documentaries, International Movies, LGBTQ Movies",Movie,7.0
Christine,Antonio Campos,"Rebecca Hall, Michael C. Hall, Tracy Letts, Maria Dizzia, J. Smith-Cameron, Timothy Simons, Kim Shaw, John Cullum, Morgan Spector, Jayson Warner Smith","United Kingdom, United States",2016,R,119 min,"Dramas, Independent Movies",Movie,6.7
Christine,Antonio Campos,"Rebecca Hall, Michael C. Hall, Tracy Letts, Maria Dizzia, J. Smith-Cameron, Timothy Simons, Kim Shaw, John Cullum, Morgan Spector, Jayson Warner Smith","United Kingdom, United States",2016,R,119 min,"Dramas, Independent Movies",Movie,6.9
Tracy Morgan: Staying Alive,Ryan Polito,Tracy Morgan,United States,2017,TV-MA,59 min,Stand-Up Comedy,Movie,6.3
Get Me Roger Stone,"Dylan Bank, Daniel DiMauro, Morgan Pehme",Roger Stone,United States,2017,TV-MA,101 min,Documentaries,Movie,7.3
Mindhorn,Sean Foley,"Julian Barratt, Andrea Riseborough, Essie Davis, Russell Tovey, Simon Farnaby, Steve Coogan, Richard McCabe, David Schofield, Nicholas Farrell, Jessica Barden",United Kingdom,2017,TV-MA,88 min,"Comedies, Cult Movies, Independent Movies",Movie,6.3
Sahara,Pierre Coré,"Robert Naylor, Angela Galuppo, Daniel Brochu, Mark Hauser, Andrew Shaver, Mathew Mackay, Richard Dumont, Brady Moffatt, Rick Jones, Nadia Verrucci, Sonja Ball","France, Canada",2017,TV-Y7,86 min,Children & Family Movies,Movie,5.5
Aiyyaa,Sachin Kundalkar,"Rani Mukerji, Prithviraj Sukumaran, Nirmiti Sawant, Subodh Bhave, Jyoti Subhash, Satish Alekar, Anita Date, Amey Wagh, Kishori Balal, Pakoda Pandi",India,2012,TV-14,151 min,"Comedies, International Movies, Music & Musicals",Movie,4.3
Bbuddah Hoga Terra Baap,Puri Jagannadh,"Amitabh Bachchan, Hema Malini, Raveena Tandon, Sonu Sood, Sonal Chauhan, Charmy Kaur, Prakash Raj, Makrand Deshpande, Subbaraju, Shawar Ali, Rajeev Verma",India,2011,TV-14,116 min,"Action & Adventure, Comedies, Dramas",Movie,5.6
